age,gender,province
34,Female,Quebec
50,Male,British Columbia
37,Male,Alberta
80,Female,British Columbia
61,Female,Quebec
59,Male,Saskatchewan
41,Female,Newfoundland and Labrador
65,Male,Ontario
80,Female,Saskatchewan
76,Male,British Columbia
35,Female,British Columbia
66,Male,Ontario
26,Female,Quebec
55,Female,New Brunswick
57,Male,Nova Scotia
44,Male,New Brunswick
61,Female,Ontario
27,Male,Quebec
71,Female,New Brunswick
68,Male,Quebec
80,Male,Manitoba
55,Male,Ontario
54,Female,Ontario
69,Male,British Columbia
41,Male,Nova Scotia
80,Male,Saskatchewan
61,Male,Ontario
31,Female,Ontario
77,Female,Alberta
62,Female,Quebec
54,Female,Nova Scotia
80,Female,Quebec
71,Female,Ontario
59,Male,Saskatchewan
41,Female,British Columbia
78,Male,Ontario
67,Female,New Brunswick
74,Female,Quebec
77,Male,Quebec
53,Female,British Columbia
61,Female,Quebec
39,Male,Alberta
48,Male,Quebec
40,Male,Quebec
80,Female,Quebec
29,Male,Ontario
18,Male,British Columbia
74,Male,Ontario
44,Male,British Columbia
26,Male,Alberta
61,Female,Quebec
51,Male,Ontario
31,Male,Alberta
80,Female,Quebec
70,Female,Quebec
63,Male,British Columbia
26,Female,Quebec
58,Male,New Brunswick
34,Male,Alberta
39,Male,Alberta
39,Male,Alberta
43,Female,Ontario
52,Male,Ontario
20,Female,Alberta
58,Male,Ontario
61,Male,Ontario
57,Female,Ontario
69,Male,Manitoba
62,Male,New Brunswick
48,Female,New Brunswick
59,Female,Nova Scotia
40,Male,Ontario
44,Male,British Columbia
72,Female,Quebec
24,Female,Ontario
40,Female,Ontario
46,Male,New Brunswick
37,Male,Nova Scotia
48,Female,Quebec
40,Female,Alberta
32,Female,British Columbia
48,Male,Ontario
58,Male,Quebec
79,Female,Ontario
21,Male,Ontario
61,Male,Ontario
53,Male,Ontario
38,Male,Ontario
76,Male,Nova Scotia
72,Female,Manitoba
70,Female,Ontario
69,Female,Saskatchewan
51,Male,Prince Edward Island
37,Male,British Columbia
36,Male,Quebec
79,Female,Ontario
27,Female,Ontario
80,Female,Newfoundland and Labrador
24,Male,Quebec
61,Female,British Columbia
56,Male,Alberta
40,Female,British Columbia
55,Female,Quebec
59,Female,Quebec
38,Female,Alberta
61,Male,Prince Edward Island
62,Male,Ontario
32,Male,Alberta
40,Male,British Columbia
73,Male,Newfoundland and Labrador
30,Female,Manitoba
19,Female,Manitoba
62,Female,British Columbia
28,Female,Quebec
46,Female,Ontario
36,Male,Ontario
22,Male,Ontario
80,Male,Ontario
47,Male,Ontario
63,Female,Ontario
56,Male,Quebec
37,Female,Ontario
72,Male,Newfoundland and Labrador
23,Male,Ontario
50,Male,Ontario
36,Female,Quebec
56,Male,Alberta
60,Male,Quebec
69,Male,Quebec
65,Female,Ontario
20,Female,Ontario
37,Male,Manitoba
80,Female,Alberta
49,Male,Alberta
57,Male,New Brunswick
50,Female,Nova Scotia
67,Male,Quebec
76,Male,British Columbia
57,Male,Manitoba
78,Male,Quebec
61,Female,Quebec
72,Female,Ontario
37,Female,Quebec
80,Female,Ontario
51,Male,Ontario
68,Male,Quebec
67,Female,New Brunswick
28,Female,British Columbia
26,Female,British Columbia
60,Female,New Brunswick
31,Female,Quebec
46,Female,British Columbia
36,Male,Ontario
51,Male,New Brunswick
57,Female,Ontario
43,Female,Ontario
19,Male,Alberta
51,Female,Quebec
48,Female,Nova Scotia
55,Female,Prince Edward Island
63,Male,Ontario
31,Female,Quebec
43,Female,British Columbia
57,Female,Saskatchewan
68,Male,New Brunswick
76,Male,British Columbia
20,Male,Ontario
56,Female,New Brunswick
44,Female,Ontario
36,Female,New Brunswick
41,Male,Quebec
68,Female,Ontario
28,Male,Quebec
40,Male,Nova Scotia
64,Male,Quebec
51,Female,Alberta
75,Male,British Columbia
80,Female,Saskatchewan
28,Male,Quebec
59,Female,Prince Edward Island
51,Female,Newfoundland and Labrador
80,Female,Quebec
80,Female,Ontario
48,Female,British Columbia
52,Female,British Columbia
53,Male,Newfoundland and Labrador
58,Female,Ontario
35,Female,Alberta
37,Female,Ontario
69,Male,British Columbia
58,Male,British Columbia
19,Male,Ontario
57,Male,Quebec
59,Female,British Columbia
80,Male,Newfoundland and Labrador
78,Female,Newfoundland and Labrador
58,Male,Ontario
59,Female,Nova Scotia
57,Female,Nova Scotia
18,Male,Ontario
62,Female,British Columbia
18,Male,British Columbia
53,Female,Ontario
80,Female,Newfoundland and Labrador
65,Female,Prince Edward Island
54,Female,Quebec
41,Male,Quebec
29,Male,Quebec
42,Female,British Columbia
38,Female,Prince Edward Island
43,Female,Ontario
75,Male,Nova Scotia
37,Female,Alberta
67,Male,Prince Edward Island
63,Female,Ontario
24,Female,Ontario
74,Female,Nova Scotia
66,Female,Ontario
67,Male,Ontario
60,Female,Ontario
43,Male,Saskatchewan
55,Female,Ontario
35,Male,Quebec
58,Male,Ontario
80,Female,Nova Scotia
52,Female,Newfoundland and Labrador
54,Male,New Brunswick
74,Male,British Columbia
22,Male,British Columbia
45,Male,Ontario
31,Female,British Columbia
40,Female,Ontario
22,Female,Quebec
64,Female,Manitoba
48,Male,Alberta
43,Male,Ontario
30,Male,Quebec
36,Male,New Brunswick
62,Female,Alberta
68,Female,New Brunswick
69,Female,Nova Scotia
54,Female,British Columbia
46,Female,Nova Scotia
65,Female,New Brunswick
80,Female,Ontario
56,Female,British Columbia
33,Male,Ontario
37,Female,Nova Scotia
51,Male,New Brunswick
39,Male,Quebec
70,Female,New Brunswick
48,Female,Prince Edward Island
75,Female,Quebec
22,Male,Ontario
60,Female,Ontario
62,Male,Quebec
54,Male,Quebec
19,Female,Ontario
76,Female,Quebec
66,Male,New Brunswick
59,Female,Ontario
78,Female,Ontario
32,Female,Quebec
70,Male,Saskatchewan
43,Female,Quebec
71,Female,Ontario
56,Female,Ontario
70,Female,Ontario
62,Male,British Columbia
21,Female,Ontario
59,Female,Ontario
61,Female,Ontario
66,Female,Ontario
37,Female,Ontario
37,Female,Ontario
30,Male,Ontario
33,Male,Quebec
68,Male,New Brunswick
60,Female,British Columbia
34,Female,Ontario
59,Female,Ontario
49,Male,Alberta
40,Female,British Columbia
58,Male,Ontario
78,Female,Quebec
64,Female,Quebec
59,Male,Nova Scotia
67,Male,Quebec
50,Male,Alberta
36,Male,Ontario
56,Male,British Columbia
22,Female,Ontario
70,Female,Alberta
44,Male,British Columbia
48,Female,Quebec
79,Female,Quebec
35,Male,Quebec
33,Male,Prince Edward Island
27,Male,Alberta
59,Male,British Columbia
34,Female,British Columbia
58,Male,Quebec
67,Female,Quebec
72,Female,New Brunswick
80,Male,New Brunswick
60,Male,Newfoundland and Labrador
49,Female,Ontario
63,Female,Quebec
80,Male,Quebec
45,Male,Newfoundland and Labrador
70,Female,British Columbia
29,Male,Ontario
39,Female,British Columbia
66,Male,Ontario
50,Female,Alberta
52,Male,Newfoundland and Labrador
30,Female,Ontario
42,Male,Newfoundland and Labrador
77,Male,Alberta
80,Female,Ontario
39,Male,Quebec
39,Female,British Columbia
80,Male,New Brunswick
75,Male,Nova Scotia
80,Female,New Brunswick
30,Female,Nova Scotia
32,Female,Ontario
43,Female,Nova Scotia
33,Female,Quebec
24,Female,Prince Edward Island
80,Male,British Columbia
73,Female,Ontario
74,Female,Quebec
31,Female,Prince Edward Island
24,Female,Alberta
56,Female,Manitoba
67,Female,British Columbia
25,Male,Newfoundland and Labrador
30,Female,Newfoundland and Labrador
55,Male,Manitoba
50,Male,Ontario
27,Male,Alberta
29,Female,Ontario
69,Female,Ontario
57,Female,Ontario
57,Female,Quebec
41,Female,New Brunswick
29,Female,Saskatchewan
55,Male,Ontario
59,Male,British Columbia
75,Female,Newfoundland and Labrador
65,Female,Saskatchewan
54,Male,Ontario
25,Male,British Columbia
30,Male,Ontario
43,Female,Alberta
46,Female,Ontario
51,Female,Quebec
69,Female,New Brunswick
66,Female,Quebec
21,Male,Ontario
38,Male,New Brunswick
55,Male,New Brunswick
39,Female,Ontario
66,Female,Quebec
51,Male,Ontario
51,Female,Ontario
20,Male,Ontario
27,Male,Ontario
29,Male,Ontario
30,Male,Ontario
31,Male,Alberta
32,Female,Prince Edward Island
62,Female,Quebec
51,Female,Ontario
59,Male,Newfoundland and Labrador
70,Female,New Brunswick
42,Female,British Columbia
54,Female,Newfoundland and Labrador
60,Male,Quebec
23,Female,Quebec
69,Male,British Columbia
45,Female,British Columbia
31,Female,Manitoba
57,Male,Nova Scotia
22,Female,Newfoundland and Labrador
68,Male,Manitoba
80,Male,Newfoundland and Labrador
39,Female,Newfoundland and Labrador
68,Male,Manitoba
73,Male,Saskatchewan
67,Female,Quebec
18,Male,Nova Scotia
80,Male,Ontario
26,Female,Alberta
80,Female,Quebec
40,Female,Saskatchewan
48,Male,Manitoba
42,Male,British Columbia
32,Male,Ontario
62,Male,Quebec
69,Male,Nova Scotia
29,Male,Ontario
21,Female,Quebec
40,Male,New Brunswick
58,Female,British Columbia
73,Male,Ontario
22,Male,Ontario
77,Female,Quebec
58,Female,Quebec
27,Female,Quebec
45,Male,Quebec
80,Female,Quebec
55,Male,British Columbia
25,Female,Quebec
61,Male,Ontario
22,Male,Ontario
36,Female,Ontario
67,Female,Prince Edward Island
65,Female,Ontario
75,Male,British Columbia
43,Female,Alberta
59,Female,Newfoundland and Labrador
75,Male,Ontario
57,Male,Nova Scotia
66,Male,Nova Scotia
78,Female,Nova Scotia
59,Male,Nova Scotia
37,Female,Newfoundland and Labrador
80,Female,Nova Scotia
49,Male,Nova Scotia
54,Female,Newfoundland and Labrador
54,Male,Quebec
36,Male,Ontario
80,Female,British Columbia
41,Female,Ontario
23,Female,British Columbia
68,Female,Prince Edward Island
43,Female,Quebec
55,Female,Manitoba
63,Female,New Brunswick
19,Male,Quebec
33,Female,New Brunswick
66,Male,Ontario
64,Male,New Brunswick
58,Female,British Columbia
66,Male,New Brunswick
59,Male,New Brunswick
53,Male,Ontario
48,Male,Alberta
50,Female,British Columbia
74,Male,Ontario
79,Female,Ontario
77,Male,Quebec
58,Male,Manitoba
51,Female,British Columbia
76,Female,Nova Scotia
52,Female,British Columbia
71,Female,Quebec
43,Female,British Columbia
27,Male,Manitoba
60,Female,Ontario
42,Female,Alberta
47,Male,Saskatchewan
64,Male,Quebec
70,Male,Ontario
58,Female,Prince Edward Island
53,Male,Nova Scotia
40,Female,Saskatchewan
80,Male,Manitoba
20,Male,Saskatchewan
31,Female,Ontario
75,Female,Quebec
65,Female,Quebec
77,Male,Newfoundland and Labrador
56,Female,Ontario
80,Female,Quebec
34,Male,British Columbia
65,Male,Ontario
22,Female,Saskatchewan
77,Male,Newfoundland and Labrador
80,Male,British Columbia
30,Female,Ontario
58,Female,Prince Edward Island
59,Female,Manitoba
52,Male,Quebec
28,Male,Alberta
76,Female,Manitoba
65,Female,Ontario
39,Female,Quebec
60,Female,Newfoundland and Labrador
72,Male,Ontario
71,Male,British Columbia
44,Female,Ontario
54,Female,Nova Scotia
32,Female,Saskatchewan
39,Male,New Brunswick
66,Male,Ontario
48,Female,New Brunswick
75,Female,Quebec
34,Female,Ontario
54,Male,New Brunswick
80,Female,Saskatchewan
72,Female,British Columbia
57,Male,Nova Scotia
47,Female,British Columbia
49,Female,Ontario
69,Female,Ontario
33,Male,Ontario
69,Male,Ontario
68,Female,Ontario
58,Female,New Brunswick
52,Female,Nova Scotia
61,Male,Quebec
69,Female,Quebec
78,Male,Ontario
31,Female,Ontario
35,Male,Manitoba
50,Male,Nova Scotia
71,Male,Newfoundland and Labrador
66,Female,New Brunswick
48,Female,British Columbia
31,Male,Newfoundland and Labrador
53,Female,Quebec
70,Female,Nova Scotia
48,Male,Quebec
63,Male,British Columbia
54,Female,Ontario
37,Female,Nova Scotia
21,Male,Nova Scotia
33,Female,Quebec
41,Male,Quebec
38,Female,Quebec
44,Male,Newfoundland and Labrador
18,Female,Alberta
41,Female,Quebec
47,Female,Quebec
69,Male,Manitoba
53,Male,Manitoba
68,Male,Newfoundland and Labrador
75,Male,Ontario
30,Male,Ontario
36,Female,British Columbia
80,Female,Ontario
80,Female,Quebec
73,Female,Ontario
26,Male,Ontario
43,Female,New Brunswick
57,Female,Ontario
68,Male,New Brunswick
35,Female,Alberta
61,Female,Quebec
66,Female,Quebec
51,Female,Quebec
62,Female,Quebec
47,Male,Ontario
57,Female,Ontario
54,Male,Prince Edward Island
44,Female,Ontario
62,Male,British Columbia
80,Female,Ontario
53,Female,New Brunswick
65,Male,Quebec
47,Female,British Columbia
41,Male,Ontario
70,Male,Ontario
19,Male,Ontario
65,Male,Alberta
37,Female,New Brunswick
64,Female,Prince Edward Island
80,Female,Newfoundland and Labrador
49,Female,Quebec
70,Female,Ontario
62,Female,Manitoba
67,Female,Prince Edward Island
20,Female,Nova Scotia
46,Female,Quebec
44,Male,Ontario
72,Female,Ontario
52,Female,British Columbia
22,Female,New Brunswick
80,Female,Prince Edward Island
35,Male,Ontario
65,Male,Prince Edward Island
80,Male,Ontario
26,Female,Alberta
61,Female,British Columbia
54,Male,Prince Edward Island
34,Female,Saskatchewan
63,Male,British Columbia
43,Female,Quebec
63,Female,New Brunswick
65,Male,Newfoundland and Labrador
48,Male,Quebec
54,Male,Alberta
32,Female,British Columbia
45,Male,Saskatchewan
32,Female,New Brunswick
76,Female,Ontario
52,Male,Alberta
40,Male,Quebec
52,Female,Ontario
47,Female,Newfoundland and Labrador
23,Female,New Brunswick
63,Female,Nova Scotia
53,Male,Quebec
61,Female,Saskatchewan
24,Male,Quebec
54,Female,Ontario
56,Male,Ontario
74,Male,New Brunswick
63,Female,Ontario
71,Female,Ontario
60,Male,New Brunswick
69,Female,Ontario
63,Male,Manitoba
65,Female,Alberta
53,Female,Newfoundland and Labrador
57,Female,Manitoba
26,Male,Manitoba
65,Female,British Columbia
19,Female,Ontario
19,Female,Quebec
38,Male,Ontario
30,Male,Ontario
18,Female,Alberta
67,Female,Prince Edward Island
68,Male,New Brunswick
48,Male,Ontario
69,Male,New Brunswick
74,Male,Quebec
63,Male,Ontario
27,Male,Alberta
34,Male,Ontario
54,Male,Newfoundland and Labrador
35,Male,Ontario
27,Female,Newfoundland and Labrador
44,Female,Ontario
80,Male,Manitoba
64,Female,Quebec
73,Female,Alberta
23,Female,Quebec
30,Male,Saskatchewan
47,Female,Ontario
42,Male,Quebec
74,Female,New Brunswick
43,Female,Saskatchewan
63,Male,British Columbia
53,Female,Ontario
44,Male,British Columbia
56,Male,Ontario
70,Female,New Brunswick
32,Male,Ontario
29,Female,Newfoundland and Labrador
74,Female,New Brunswick
41,Male,Manitoba
51,Female,Manitoba
44,Female,Quebec
64,Male,Newfoundland and Labrador
64,Female,Nova Scotia
53,Male,Quebec
61,Male,Ontario
53,Female,Nova Scotia
55,Female,Prince Edward Island
39,Female,Ontario
66,Male,British Columbia
45,Female,Ontario
33,Female,Ontario
77,Female,Manitoba
25,Male,Newfoundland and Labrador
33,Male,Ontario
77,Female,Saskatchewan
21,Female,Quebec
19,Female,Quebec
40,Female,Manitoba
33,Female,Newfoundland and Labrador
57,Female,British Columbia
22,Male,Quebec
41,Female,Alberta
65,Male,Manitoba
63,Female,Ontario
32,Male,Ontario
57,Male,Newfoundland and Labrador
38,Female,Prince Edward Island
72,Female,Newfoundland and Labrador
66,Female,British Columbia
34,Female,Quebec
39,Female,Ontario
24,Female,Ontario
49,Female,Prince Edward Island
73,Female,Ontario
66,Male,Quebec
29,Female,New Brunswick
41,Female,New Brunswick
19,Female,Newfoundland and Labrador
80,Female,Ontario
76,Female,Saskatchewan
64,Male,British Columbia
79,Female,Manitoba
80,Male,Manitoba
44,Female,Newfoundland and Labrador
57,Male,Ontario
68,Female,Quebec
35,Male,Alberta
29,Female,British Columbia
80,Male,Ontario
80,Female,Quebec
63,Male,New Brunswick
35,Male,Alberta
72,Male,New Brunswick
74,Female,British Columbia
50,Female,Ontario
61,Male,Prince Edward Island
50,Female,Alberta
43,Female,Quebec
39,Female,Alberta
37,Male,Newfoundland and Labrador
44,Female,Nova Scotia
69,Male,British Columbia
31,Female,Ontario
46,Female,British Columbia
65,Male,Newfoundland and Labrador
49,Male,Ontario
80,Male,Nova Scotia
64,Male,Alberta
52,Female,Quebec
55,Male,Alberta
67,Female,Quebec
31,Male,Ontario
32,Male,British Columbia
55,Male,Quebec
33,Female,Quebec
47,Female,Saskatchewan
71,Male,Quebec
61,Male,Quebec
56,Female,Ontario
55,Female,Newfoundland and Labrador
21,Female,Ontario
72,Male,Newfoundland and Labrador
27,Female,Ontario
59,Female,Saskatchewan
25,Male,Manitoba
68,Female,Ontario
63,Female,Nova Scotia
36,Male,Quebec
47,Female,Ontario
68,Female,Quebec
47,Male,Quebec
27,Male,Saskatchewan
19,Female,Ontario
35,Female,British Columbia
67,Male,Ontario
36,Female,Ontario
29,Female,Ontario
68,Female,British Columbia
46,Male,Quebec
62,Male,Alberta
68,Female,Manitoba
76,Male,Newfoundland and Labrador
30,Female,British Columbia
30,Female,Ontario
53,Female,Saskatchewan
29,Male,Ontario
76,Female,Quebec
24,Female,New Brunswick
24,Male,Quebec
67,Female,Nova Scotia
42,Female,Quebec
27,Female,New Brunswick
64,Female,Prince Edward Island
43,Male,British Columbia
60,Female,Ontario
63,Female,Quebec
25,Female,Ontario
63,Male,Ontario
54,Female,Ontario
68,Male,Newfoundland and Labrador
63,Female,Saskatchewan
57,Female,Quebec
58,Male,Quebec
44,Female,Ontario
52,Female,British Columbia
37,Female,Nova Scotia
70,Female,Nova Scotia
55,Female,Quebec
47,Male,Ontario
71,Female,Ontario
42,Female,British Columbia
76,Female,Ontario
60,Female,Ontario
65,Male,Nova Scotia
33,Female,British Columbia
22,Male,British Columbia
80,Female,Ontario
41,Male,Alberta
25,Male,Nova Scotia
56,Male,British Columbia
30,Male,Nova Scotia
31,Female,Manitoba
42,Female,Alberta
39,Male,Ontario
51,Male,Ontario
47,Female,Saskatchewan
43,Female,Quebec
56,Female,New Brunswick
55,Male,Quebec
18,Female,British Columbia
57,Male,Ontario
71,Female,Quebec
47,Male,Quebec
55,Male,British Columbia
52,Female,Quebec
24,Female,Ontario
63,Female,Ontario
78,Female,Saskatchewan
57,Female,Ontario
75,Female,Quebec
29,Female,Saskatchewan
19,Female,New Brunswick
69,Male,Quebec
58,Male,Ontario
56,Male,New Brunswick
71,Female,Ontario
44,Male,Alberta
30,Female,Ontario
37,Female,Quebec
39,Female,Saskatchewan
53,Male,British Columbia
80,Male,British Columbia
64,Female,Newfoundland and Labrador
60,Female,Ontario
28,Female,British Columbia
66,Male,Quebec
31,Male,New Brunswick
42,Female,Ontario
34,Male,Quebec
48,Female,Alberta
65,Male,New Brunswick
70,Male,Manitoba
44,Female,Ontario
43,Male,New Brunswick
44,Female,Saskatchewan
42,Female,Prince Edward Island
53,Female,British Columbia
66,Male,British Columbia
58,Female,Quebec
80,Male,Nova Scotia
69,Male,Quebec
20,Male,Alberta
56,Male,New Brunswick
43,Male,Ontario
55,Female,British Columbia
20,Male,Quebec
60,Female,Nova Scotia
64,Female,Quebec
70,Female,Ontario
40,Male,Newfoundland and Labrador
56,Female,Ontario
73,Male,Alberta
63,Female,New Brunswick
73,Female,British Columbia
58,Male,Ontario
75,Female,Ontario
80,Female,Saskatchewan
62,Female,Saskatchewan
42,Female,Alberta
58,Female,Saskatchewan
68,Female,Ontario
55,Female,Alberta
23,Male,Saskatchewan
35,Female,Ontario
24,Female,British Columbia
34,Female,Ontario
80,Female,Ontario
30,Female,Saskatchewan
26,Male,Quebec
57,Male,Alberta
74,Male,Newfoundland and Labrador
53,Female,Newfoundland and Labrador
34,Female,Ontario
68,Male,Quebec
73,Female,Prince Edward Island
32,Female,Alberta
73,Female,Manitoba
63,Male,British Columbia
39,Female,Quebec
51,Female,New Brunswick
76,Female,New Brunswick
35,Male,British Columbia
80,Male,Ontario
30,Female,Quebec
80,Female,Quebec
78,Male,New Brunswick
54,Male,Newfoundland and Labrador
38,Female,Quebec
53,Female,Ontario
80,Female,Ontario
55,Male,Newfoundland and Labrador
35,Female,New Brunswick
52,Male,Quebec
41,Female,Ontario
34,Female,Quebec
34,Female,Ontario
25,Male,Nova Scotia
33,Male,Ontario
68,Female,Ontario
36,Female,Quebec
23,Male,Ontario
22,Male,Newfoundland and Labrador
53,Male,Ontario
67,Female,New Brunswick
44,Male,Newfoundland and Labrador
67,Male,New Brunswick
26,Female,Quebec
47,Female,Saskatchewan
80,Female,Prince Edward Island
49,Female,Quebec
67,Female,Ontario
61,Female,Nova Scotia
60,Male,British Columbia
47,Male,Quebec
50,Male,Quebec
77,Female,Newfoundland and Labrador
64,Male,British Columbia
62,Male,Quebec
52,Female,New Brunswick
27,Female,Ontario
34,Male,Ontario
39,Male,Ontario
33,Female,Ontario
69,Female,Ontario
31,Female,Prince Edward Island
80,Male,Ontario
47,Male,Nova Scotia
66,Female,Ontario
34,Female,Nova Scotia
29,Female,Ontario
19,Male,Alberta
39,Female,Alberta
37,Male,British Columbia
72,Female,Manitoba
59,Female,Manitoba
34,Female,British Columbia
68,Female,British Columbia
53,Male,Ontario
54,Female,New Brunswick
70,Female,Ontario
66,Female,British Columbia
27,Female,New Brunswick
67,Female,Alberta
80,Female,Ontario
26,Male,Ontario
64,Female,Ontario
34,Female,Nova Scotia
38,Female,Quebec
58,Female,Newfoundland and Labrador
55,Female,Quebec
56,Female,Ontario
25,Male,Alberta
26,Female,British Columbia
52,Male,British Columbia
31,Male,Ontario
55,Female,British Columbia
44,Female,Ontario
29,Male,New Brunswick
36,Male,British Columbia
54,Male,Ontario
35,Female,Manitoba
49,Female,Newfoundland and Labrador
65,Female,Nova Scotia
31,Female,Manitoba
40,Male,Nova Scotia
80,Male,Quebec
39,Female,Quebec
34,Female,Manitoba
75,Female,British Columbia
53,Male,Alberta
65,Male,British Columbia
66,Female,New Brunswick
80,Female,Newfoundland and Labrador
80,Female,Quebec
62,Female,British Columbia
