gender,age,province,cps19_votechoice,cps19_votechoice_pr,pes19_votechoice2019,vote_choice,vote_Justin_Trudeau,vote_Andrew_Scheer
Female,22,Ontario,NA,Liberal Party,"NA",Liberal Party,1,0
Male,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,20,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,24,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,NA,Liberal Party,"NA",Liberal Party,1,0
Male,22,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,19,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,ndp,"NA","NA",ndp,0,0
Male,23,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,19,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,19,Ontario,NA,ndp,"NA",ndp,0,0
Male,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Male,19,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,23,Ontario,ndp,"NA","NA",ndp,0,0
Male,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,ndp,"NA","NA",ndp,0,0
Female,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,ndp,"NA","NA",ndp,0,0
Female,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,22,Ontario,ndp,"NA","NA",ndp,0,0
Female,23,Ontario,ndp,"NA","NA",ndp,0,0
Male,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Female,22,Ontario,ndp,"NA","NA",ndp,0,0
Female,19,Ontario,ndp,"NA","NA",ndp,0,0
Female,20,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,21,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,20,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,20,Ontario,NA,ndp,"NA",ndp,0,0
Male,22,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,22,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,23,Ontario,ndp,"NA","NA",ndp,0,0
Male,22,Ontario,Another party (please specify),"NA","NA",Another party (please specify),0,0
Female,50,Ontario,Don't know/ Prefer not to answer,"NA",Another party (specify),Another party (specify),0,0
Female,63,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,72,Ontario,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Female,28,Ontario,ndp,"NA",Liberal Party,Liberal Party,1,0
Male,59,British Columbia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,60,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,63,Ontario,ndp,"NA",NDP,NDP,0,0
Female,29,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,57,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,65,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,63,Saskatchewan,Conservative Party,"NA","NA",Conservative Party,0,1
Male,44,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,65,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Male,41,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,62,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,42,Alberta,Liberal Party,"NA",NDP,NDP,0,0
Male,32,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,59,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,34,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,67,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,66,British Columbia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,67,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,37,Ontario,Green Party,"NA",Conservative Party,Conservative Party,0,1
Male,47,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,68,Ontario,ndp,"NA",NDP,NDP,0,0
Female,63,Alberta,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Male,30,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,59,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,61,British Columbia,Green Party,"NA","NA",Green Party,0,0
Female,31,Quebec,ndp,"NA","NA",ndp,0,0
Female,65,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,47,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,64,Manitoba,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,69,Ontario,ndp,"NA","NA",ndp,0,0
Female,64,Newfoundland and Labrador,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,49,Alberta,Liberal Party,"NA","NA",Liberal Party,1,0
Male,65,Saskatchewan,Liberal Party,"NA","NA",Liberal Party,1,0
Female,76,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,55,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,56,British Columbia,Don't know/ Prefer not to answer,"NA",I spoiled my vote,I spoiled my vote,0,0
Male,63,Saskatchewan,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,52,Quebec,NA,Liberal Party,"NA",Liberal Party,1,0
Female,46,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,69,Nova Scotia,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,38,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,57,Prince Edward Island,Green Party,"NA",Green Party,Green Party,0,0
Male,68,British Columbia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,67,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,59,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,28,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,63,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,61,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,29,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,73,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,69,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,67,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,76,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,49,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,62,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,47,Nova Scotia,Conservative Party,"NA","NA",Conservative Party,0,1
Female,54,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,55,Quebec,Green Party,"NA","NA",Green Party,0,0
Female,58,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,41,Manitoba,Liberal Party,"NA","NA",Liberal Party,1,0
Male,54,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,34,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,66,British Columbia,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,48,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,68,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,53,Ontario,Liberal Party,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Male,68,Nova Scotia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,65,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,28,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,40,Manitoba,Green Party,"NA","NA",Green Party,0,0
Female,28,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,69,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,35,Ontario,Liberal Party,"NA",NDP,NDP,0,0
Male,34,New Brunswick,Liberal Party,"NA","NA",Liberal Party,1,0
Male,56,Alberta,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,28,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,68,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,44,Alberta,NA,Conservative Party,"NA",Conservative Party,0,1
Male,50,Ontario,Green Party,"NA",Green Party,Green Party,0,0
Female,39,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,61,Alberta,Liberal Party,"NA","NA",Liberal Party,1,0
Male,74,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,54,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Male,40,Manitoba,Liberal Party,"NA","NA",Liberal Party,1,0
Female,60,Manitoba,Conservative Party,"NA","NA",Conservative Party,0,1
Female,54,British Columbia,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,46,Quebec,Another party (please specify),"NA","NA",Another party (please specify),0,0
Female,60,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,59,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,63,Ontario,Don't know/ Prefer not to answer,"NA",Conservative Party,Conservative Party,0,1
Male,67,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,51,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,72,Ontario,ndp,"NA",NDP,NDP,0,0
Female,56,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,37,Saskatchewan,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,60,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,63,Ontario,ndp,"NA","NA",ndp,0,0
Female,39,Ontario,Don't know/ Prefer not to answer,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Male,63,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,61,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,65,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,72,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,37,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,52,Nova Scotia,Green Party,"NA","NA",Green Party,0,0
Male,55,Alberta,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,49,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,66,Ontario,ndp,"NA",NDP,NDP,0,0
Male,73,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,30,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,53,Ontario,Conservative Party,"NA",Liberal Party,Liberal Party,1,0
Male,57,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Male,69,Ontario,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Male,80,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,25,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,36,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,60,Ontario,Conservative Party,"NA",Liberal Party,Liberal Party,1,0
Male,69,Ontario,Another party (please specify),"NA","NA",Another party (please specify),0,0
Female,58,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,49,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,63,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,19,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,26,Ontario,Green Party,"NA",Liberal Party,Liberal Party,1,0
Male,64,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,62,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,57,New Brunswick,Don't know/ Prefer not to answer,"NA",Green Party,Green Party,0,0
Female,65,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,66,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,60,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,43,Ontario,ndp,"NA",NDP,NDP,0,0
Male,63,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,58,Nova Scotia,ndp,"NA",NDP,NDP,0,0
Male,55,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,58,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,74,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,42,Ontario,ndp,"NA","NA",ndp,0,0
Male,56,Ontario,ndp,"NA","NA",ndp,0,0
Female,36,Ontario,Green Party,"NA","NA",Green Party,0,0
Male,73,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,42,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,36,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,50,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,73,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,40,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,41,Saskatchewan,NA,Conservative Party,"NA",Conservative Party,0,1
Male,80,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,55,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,71,Ontario,ndp,"NA","NA",ndp,0,0
Male,42,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,32,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Female,77,Ontario,Green Party,"NA",Conservative Party,Conservative Party,0,1
Male,57,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,56,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,60,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,64,Newfoundland and Labrador,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,23,Quebec,Green Party,"NA","NA",Green Party,0,0
Female,68,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Male,28,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,72,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,64,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,40,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,78,Ontario,Liberal Party,"NA",Green Party,Green Party,0,0
Male,29,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,59,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,39,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,45,British Columbia,Liberal Party,"NA","NA",Liberal Party,1,0
Female,33,British Columbia,Green Party,"NA","NA",Green Party,0,0
Female,47,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,35,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,70,Ontario,ndp,"NA",NDP,NDP,0,0
Male,67,Ontario,NA,Conservative Party,Conservative Party,Conservative Party,0,1
Male,43,Ontario,Conservative Party,"NA",NDP,NDP,0,0
Female,62,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,41,Ontario,ndp,"NA",Green Party,Green Party,0,0
Female,68,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,62,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,33,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,35,Quebec,ndp,"NA","NA",ndp,0,0
Male,79,New Brunswick,Conservative Party,"NA","NA",Conservative Party,0,1
Male,34,Prince Edward Island,Conservative Party,"NA",Green Party,Green Party,0,0
Male,47,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,74,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,46,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,47,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,36,Alberta,Liberal Party,"NA","NA",Liberal Party,1,0
Female,30,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,52,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,74,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,71,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,68,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,48,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,75,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,65,Nova Scotia,Conservative Party,"NA","NA",Conservative Party,0,1
Male,73,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,72,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,54,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,61,Prince Edward Island,Liberal Party,"NA","NA",Liberal Party,1,0
Male,44,Ontario,People's Party,"NA","NA",People's Party,0,0
Male,40,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,56,New Brunswick,Don't know/ Prefer not to answer,"NA",Green Party,Green Party,0,0
Female,34,New Brunswick,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,59,Ontario,Don't know/ Prefer not to answer,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Female,57,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Male,31,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,59,Ontario,ndp,"NA","NA",ndp,0,0
Female,63,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,61,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,54,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,67,Ontario,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Male,72,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,53,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,30,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Male,23,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,59,Newfoundland and Labrador,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,60,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,73,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,59,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,69,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,57,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,58,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,50,Ontario,Liberal Party,"NA",NDP,NDP,0,0
Female,73,Newfoundland and Labrador,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,37,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,52,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,79,Nova Scotia,Conservative Party,"NA",Liberal Party,Liberal Party,1,0
Female,70,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,65,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,64,New Brunswick,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,72,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,39,Quebec,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,73,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Male,35,Alberta,Conservative Party,"NA","NA",Conservative Party,0,1
Male,67,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,69,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,61,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,49,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,56,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,32,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,20,Alberta,Green Party,"NA","NA",Green Party,0,0
Male,63,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,75,Quebec,Bloc Québécois,"NA","NA",Bloc Québécois,0,0
Female,58,Quebec,Green Party,"NA","NA",Green Party,0,0
Female,76,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,49,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,59,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,60,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,56,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Female,61,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,61,Ontario,Don't know/ Prefer not to answer,"NA",NDP,NDP,0,0
Female,61,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Female,68,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,62,Quebec,People's Party,"NA","NA",People's Party,0,0
Male,39,Ontario,Conservative Party,"NA",NDP,NDP,0,0
Female,38,Quebec,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,45,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,50,New Brunswick,Liberal Party,"NA","NA",Liberal Party,1,0
Male,71,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Male,45,Quebec,Green Party,"NA","NA",Green Party,0,0
Female,70,Quebec,Green Party,"NA","NA",Green Party,0,0
Male,49,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,49,Ontario,Green Party,"NA","NA",Green Party,0,0
Female,54,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Female,51,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Female,61,Ontario,Liberal Party,"NA",Liberal Party,Liberal Party,1,0
Male,56,Ontario,Conservative Party,"NA","NA",Conservative Party,0,1
Female,53,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,51,Ontario,Don't know/ Prefer not to answer,"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Female,56,Ontario,Another party (please specify),"NA",Don't know / Prefer not to answer,Don't know / Prefer not to answer,0,0
Male,64,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Female,47,Ontario,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,44,Ontario,Liberal Party,"NA","NA",Liberal Party,1,0
Male,52,British Columbia,Conservative Party,"NA",Liberal Party,Liberal Party,1,0
Male,65,Ontario,ndp,"NA",NDP,NDP,0,0
Male,57,Quebec,Conservative Party,"NA","NA",Conservative Party,0,1
Male,53,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,47,Ontario,ndp,"NA","NA",ndp,0,0
Female,54,Ontario,ndp,"NA","NA",ndp,0,0
Female,50,Newfoundland and Labrador,Liberal Party,"NA","NA",Liberal Party,1,0
Female,47,Ontario,NA,Don't know/ Prefer not to answer,"NA",Don't know/ Prefer not to answer,0,0
Female,52,Ontario,Don't know/ Prefer not to answer,"NA",Liberal Party,Liberal Party,1,0
Female,21,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Female,70,Ontario,ndp,"NA","NA",ndp,0,0
Female,58,Quebec,Liberal Party,"NA","NA",Liberal Party,1,0
Male,60,Ontario,Green Party,"NA",Green Party,Green Party,0,0
Male,25,Nova Scotia,Liberal Party,"NA","NA",Liberal Party,1,0
Male,58,Quebec,Don't know/ Prefer not to answer,"NA","NA",Don't know/ Prefer not to answer,0,0
Male,61,Ontario,Conservative Party,"NA",Conservative Party,Conservative Party,0,1
Male,72,Quebec,Green Party,"NA","NA",Green Party,0,0
